grant_ID_with_letters,amount_requested,approval_route,board_approval_date,concept_summary,project_summary,project_title,fip_title,grant_officer,state,status,,,,
G-2205-1,288622,Next Approval Cycle,2022-02-19,"""In France, a first national network of charging stations will not be enough (100 000 charging stations) to match the needs for EVs and heavy-duty vehicles. Moreover, the future deployment need be well articulated to ensure the best service possible to reassure users.
ElectroCharge will produce a comprehensive and global roadmap on needs and solutions to implement for high power charging infrastructure network in France. The objective is to propose paths and have factual arguments on equipment needs and actions to be taken between now and 2030 -2035. This roadmap needs to be economically and environmentally efficient to reassure the users of ligh vehicles and heavy trucks.
""",to fund a comprehensive and global roadmap on needs and solutions to Implement for high power charging infrastructure network in France economically and environmentally efficient to reassure the users of light vehicles and heavy trucks.,Charging infrastructures,0,Jamie Smith,closed,managed,,,,
G-2205-2,226871,Next Approval Cycle,2024-04-06,"A revision of EU air quality rules is expected next October/November and at the same time, several cities in France will have to set up a LEZ before 2025, these two factors will make air quality a priority issue. L’Alliance des collectivités françaises pour la qualité de l'air will continue accompanying local and regional authorities in understanding the challenges of air quality and in their strategic mobility choices, particularly in the renewal of public transport.",to give the Alliance national legitimacy through major events and advanced decision support content,reinforcing national legitimacy and spread good practices,0,Alex Johnson,granted,managed,,,,
G-2205-3,84130,Next Approval Cycle,2022-04-20,Accelerate the transition to zero-emission mobility in the Netherlands,to accelerate the transition to zero-emission mobility in the Netherlands.,zero-emission mobility,0,Morgan Lee,closed,managed,,,,
G-2205-4,23930,Next Approval Cycle,2023-10-12,"As a result of war in Ukraine, very high inflation and high wholesale prices of energy the public perception on environmental and air quality issues has significantly changed loosing its importance. Although the clean air campaign in CountryX has been highly successful for many years now, the next year may prove highly difficult to advance new air quality measures. The overarching objective of this grant is to guard antismog provisions already introduced in CountryX and promote air friendly heating combined with energy efficiency as an answer to the energy crisis. In the long term this project should contribute to introduction and successful implementation of regulatory change that will eliminate barriers for air quality improvement, and by that create negative pressure on coal-based economy as a whole.",to guard antismog provisions already introduced in CountryX and promote air friendly heating combined with energy efficiency as an answer to the energy crisis,anti-smog CountryX,0,Alex Johnson,closed,managed,,,,
G-2205-5,89625,Next Approval Cycle,2022-03-22,"As CountryY's most established and well-resourced environmental NGO, GreenUrban will be a core partner for the Clean Cities Campaign in CountryY. GreenUrban will be able to deploy their extensive activist network, research capability and communications infrastructure to strengthen the key thematic areas and workstreams of the Clean Cities Campaign in CountryY.",to facilitate the transition towards zero emissions mobility in the Italian cities.,"Clean Cities Campaign, CountryY",0,Jamie Smith,new,managed,,,,
G-2205-6,291707,Next Approval Cycle,2023-02-27,"BEUC will continue to deliver the consumer perspective on clean mobility in Europe, advocating for their needs in the e-mobility transition. In particular, BEUC will work on AFIR, Co2 standards, and Euro VII, as well as looking into national financial incentives for EV purchases and quality charging infrastructure.","to raise awareness among the public, industry, and policymakers about the need to put in place EU and national measures that can accelerate the transition to low-emission mobility and provide consumer benefits.",Consumer transition to low emission mobility,0,Jordan Davis,closed,managed,,,,
G-2205-7,95975,Next Approval Cycle,2022-05-27,"BEUC will drive consumer-friendly home renovations by placing consumers at the centre of future EU measures, the Covid- 19 recovery plans and the phase out of fossil fuels.","to drive consumer-friendly home renovations by placing consumers at the centre of future EU measures, the Covid-19 recovery plans and the phase out of fossil fuels",Consumer-friendly home renovations,0,Jordan Davis,rejected,managed,,,,
G-2205-8,111947,Next Approval Cycle,2022-09-10,"British people largely engage with climate change through the lens of extreme weather events. Loyal Nationals, a segment identified through Britain Talks Climate, are particularly receptive to these framings, and are a priority audience for reasons that include their voting record, high levels of political and online engagement, and susceptibility to culture war narratives. However, climate impacts are usually communicated in the form of scientific findings, like IPCC reports. These help to build a general argument about the threat of climate change but are not well connected with domestic politics and rarely show how climate impacts will affect people, communities and industries. This grant will deliver rolling activities that focus political, media and public attention on climate impacts. It will use creative comms, compelling and accessible research, expert and lived experience voices to bring to life people’s experience of how the world around them is changing, while raising awareness of solutions that will deliver a more secure future - particularly through broadcast and tabloid media. The aim is that by popularising this narrative, the project will boost salience of climate among this key voter group and use this to generate genuine public pressure and a more permanent sense of emergency among political elite, while helping to neutralise attacks on net zero.",to popularise UK climate impacts narratives to boost the salience of climate among key voter groups and use this to generate genuine voter pressure and help neutralise attacks on net zero.,Impacts UK,0,Jordan Davis,closed,managed,,,,
G-2205-9,219266,Next Approval Cycle,2022-03-15,"Calstart will leverage their experience in the US and leadership on the Global MoU to expand their reach to Europe and positively encourage high ambition in the decarbonisation of heavy duty vehicles. In particular,     (i) Engaging with transport agencies and companies (the building of a component and manufacturers group specifically for HDVs would be helpful and an additional voice to ECTA in the policymaking bubble)
(ii)                Bringing Californian insights into the EU policymaking bubble (boosts pro- ambitious voices and, specifically, brings Californian policy drafting expertise into the Commission AS they draft the HDV CO2 standards)
(iii)               EU MOU signatories – not only will this boost signatories and profile of the MOU but it helps to build a good cross EU MS network ahead of HDV Co2 standards legislative procedure (and, especially, ahead of what will be very tense Council discussions). It would be important to us that discussions with EU MS contacts on the MOU also include discussion of the HDV CO2 standards and make the case for a ZEV mandate in the EU.",to accelerate zero-emission commercial vehicles in Europe.,Decarbonising heavy duty vehicles,0,Pat Taylor,granted,managed,,,,
G-2205-10,8377,Next Approval Cycle,2023-10-08,"Carbon dioxide removals--using technologies or practices (like afforestation) to remove GHGs from the atmosphere--is critical to allow the world to limit global warming to 1.5C. The EU is currently developing a number of policies that will directly or indirectly incentivise CDRs. Many important issues related to CDR need to be resolved if it is to play a role in EU and international climate policy, including economic and technical feasibility, impacts on land, and the potential scale.

This grant, a joint venture of the Land Use and Industry programmes, would expand CMW's capacity to work on the emerging CDR policy framework. CMW plans to engage EU and national stakeholders, monitor and feed into relevant policymaking processes, create a stronger and more accessible science-base for policymakers and attempt to find common purpose among environmental organisations that are either active in this field or could be mobilised to become active.","to inform and engage NGOs, policymakers and other stakeholders (mainly in the EU, but also internationally) on the risks and opportunities related to CDR to ensure policymaking and discussions are based on science and real-world impacts .",CDR JV Industry.,0,Morgan Lee,closed,managed,,,,
G-2205-11,163009,Next Approval Cycle,2024-05-02,Carlos Bravo will continue working with other grantees and partners on the Mobility Law legislative process and the Spanish ZE trucks platform. He will also monitor the recovery plan project on hydrogen and e-fuels.,"to work on  the Mobility Law legislative process, the Spanish ZE trucks platform and the monitoring of the recovery plan project on hydrogen and e-fuels.",0,Mobility Law legislative process and the Spanish ZE trucks platform.,Morgan Lee,granted,managed,,,,
G-2205-12,293742,Next Approval Cycle,2023-03-03,"CEO is a research and campaign group working to expose and challenge the privileged access and influence enjoyed by corporations and their lobby groups in EU policy-making. Building on their Europe-wide campaign, CEO aims at further educate European national partners. This grant will be used to further form resistance against lobby activities of fossil groups in Brussels and the European Union and to re-frame the gas narrative. This grant will contribute to the objectives under the ECF’s gas strategy to stop the expansion of new gas infrastructure in the short term and to re-frame the dominant narrative around the role of gas in the transition.",to protect climate and energy policy-making from harmful fossil fuel industry influence,Climate and energy policy-making protection,0,Alex Johnson,closed,managed,,,,
G-2205-13,17460,Next Approval Cycle,2023-07-16,"Client Earth will continue its litigation and advocacy activities across multiple EU jurisdictions. The grant will include using litigation to 1) link clean air as a human right 2) develope a market surveillance approach to the type approval process and 3) advocacy at the EU level on access to justice, monitoring networks and air quality.",to accelerate transition to green transport using a suite of legal interventions (advocacy and litigation),Clean Air Litigation,0,Jordan Davis,closed,managed,,,,
G-2205-14,293090,Next Approval Cycle,2022-10-15,"Climate youth leaders like Greta Thunberg and Luisa Neubauer are expanding the political space like no one else – by mobilising millions in the streets and by speaking truth to power. They are setting the bar for climate action high and their message creates a space for the rest of the climate movement to close the gap between what is currently politically possible and what science says is necessary.   Due to the ongoing global crises and the observed polarisation of society, there is a fundamental and drastically increasing security risk for young leaders, politicians, and journalists. Providing professional and trusted security services and facilitate free access to these resources is a necessary step to ensure their safety, support their political work, empower them, and keep their voices in the public debate.   Allied Security GmbH is stepping into that space by providing a security structure, especially for youth leaders.",to provide a security structure for climate youth leaders.,0,Security structure for climate youth leaders,Jamie Smith,closed,managed,,,,
G-2205-15,172818,Next Approval Cycle,2024-02-24,"Communications consultancy and advocacy support around problematising large scale bioenergy in Europe and all corporate and member state plans to commit large subsidies to bioenergy with carbon capture and storage (BECCS), highlighting the huge and damaging land use implications of almost all feasible feedstocks for BECCS plants. Supporting European NGOs working on forestry protection and integrating forest biomass campaigns to wider campaigns around the damage that bioenergy does to food security (both in Europe and beyond) and campaigning against plans to expand biofuel use; also highlighting work that establishes a clear economic hierarchy of use for biomass, with bioenergy for heat and power at the bottom. Working to being new voices to the campaign – including among traditionally conservative audiences. Amplifying ECF grantee campaigns in key member states and developing the UK campaign against BECCS. Continue to support NGOs working on the Renewable Energy Directive in Brussels – to win either delays or a falling cap or controls on certain feedstocks across Europe. At international level, increase scrutiny on IAMs that include BECCS and increase focus on alternatives to BECCS for negative emissions/carbon removal – working with ECF grantees Chatham House and Ember. Acting as ECF communications lead on bioenergy – collaborating with energy, land use and Target True Zero leads. Continue to act as convener of UK NGOs on bioenergy (in conjunction with RSPB).",to provide the European Climate Foundation (ECF) and its grantees with strategic communications and campaign support on bioenergy and biomaterials policy in the EU and the UK.,0,Strategic communications and campaign to counter bioenergy,Jordan Davis,closed,managed,,,,
G-2205-16,67103,Next Approval Cycle,2023-06-28,"Context: 

National government has regressed on climate and energy policy.  

While it was an early mover on LTS, the country has not progressed on any climate commitment and is one of the few remaining major economies to not come out publicly on net zero. 

The approval ratings for the current president are very high and the next elections are only in 2024.  

There is a need to revive conversations on net zero including enabling actors in the civil society to put climate change action back on the agenda.  

The scenario work in Mexico is outdated and while a net zero benchmark exists, but it also has not been updated.  

We are already supporting work from GFLAC and ACA in Mexico which are looking at public finance investment and sub national action respectively.  


Concept: 

Elaborate Mexico's net-zero technical-based pathway and its policy-based narrative 

Use this narrative to engage climate stakeholders and raise awareness on the issue through a communication strategy. 

Engage campaigners on the scenario and build their capacity to highlight areas where the Mexico needs to do more in relation to a net zero objective.",to elaborate Mexico's net-zero technical-based pathway and its policy-based narrative and engage climate stakeholders to raise awareness on the issue through a communication strategy.,support higher climate ambition in Mexico,0,Morgan Lee,granted,managed,,,,
G-2205-17,161238,Next Approval Cycle,2022-05-18,"DUH coordinates activities and actively contributes to ongoing and new legal work on coal. This encompasses work on two open cast mines, a large power plant and the enhancing of EU’s pollution standards for power plants (LCP BREF) in national law.","to coordinate, analyse and advise on legal opportunities regarding existing coal strip-mining projects, coal-fired power plants and the implementation of the LCP-BREF standards and initialise lawsuits.",Legal coordination litigation coal in Germany,0,Jamie Smith,closed,managed,,,,
G-2205-18,136961,Next Approval Cycle,2022-12-19,Early warning and recommendations to identify and fight backlash for GND,to track public opinion changes on climate change and conduct robust exploration of the nature and causes of backlash-prone audiences,In-depth exploration of nature & causes of backlash in Spain,0,Jamie Smith,granted,managed,,,,
G-2205-19,282750,Next Approval Cycle,2024-03-28,"Eastern European countries have to balance on a fine line to maintain energy security, while they aim to continue the green transition, laid out in the Fit for 55 package. Meanwhile, their energy supply chains have technologically strong links to Russia and traditionally were not designed to be able to supply the full demand for crude oil and gas from non-Russian sources. Moreover, due to the lower incomes and higher share of inefficient buildings and vehicles, the energy bills represent a higher share in households spending in CEE countries compared to Western ones. Therefore, the residents of these countries are more price sensitive and dispose a smaller budget.

The aim of the proposed study is to support decision makers in the CEE region to understand the current energy market situation and to find long-term and feasible solution to diversify away from Russian energy sources and to reduce overall dependency on fossil energy - and doing this on a way that the cost impact is acceptable by the residents of these countries.",to support decision makers in the CEE region to understand the current energy market situation and to find long-term and feasible solution to diversify away from Russian energy sources and to reduce overall dependency on fossil energy  - and doing this in a way that the cost impact is acceptable by the residents of these countries,0,"Fossil fuel dependency in BG, CZ, HU, RO, SK households",Morgan Lee,granted,managed,,,,
